RGIId,CenLat,CenLon,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-18.02071,-43.8887,169.791,51.70373305901266,-155.6232639027567,655.0811860307048,924.0405600853644,722.3350884762281,756.0597263659613,-764.6641672128939,2586.03495959782,-116.57362087884188,749.3820270386025,-365.8034563783177,1086.2100907179808,1826.750726990586,-119.86192694801446,-139.55591932516728,103.69701064258274,1529.4636242899928,421.652679992216,-434.0242885440185,68.37092019008327,-52.62697551673008,-785.6957903279431,1919.18871728585,-1729.6914169547645,209.25081356476025,619.0281155176507,-850.4922365464586,-375.64515342745017,-1504.8948958875903,1396.8662739216084,771.8484816030898,806.9446542737358,-1442.7517203994944,-510.75096232494974,193.9923306830768,-1562.5885471968963,-317.7143961809949,553.9666164991206,520.6703635481493,511.1430533814191,-900.6027834486124,596.6042009679988,-1812.9501407136013,-1299.6890798264708,-1002.116769551558,-42.57265032251535,-896.4607465202723,-789.9482136736157
RGI60-18.01382,-44.1654,169.595,109.31806806046644,-99.18587855565838,720.4431197987635,993.0342168901734,790.3745111963206,825.5356486559773,-709.0250901774871,2676.010634728145,-51.933993312934426,824.0144061524434,-300.62818524005644,1167.394260487704,1917.0552554829771,-46.8142957601267,-64.57151086399774,183.4053069621811,1625.7849063222586,509.8147252927143,-351.26488906645096,159.4275620587864,40.88067847091758,-695.4807549947986,2040.2805771890755,-1640.438750669845,321.28272019666684,724.7343424755305,-745.648753505676,-272.4441730507854,-1405.6459563036103,1499.249566210166,843.0991555627661,862.8962444028906,-1430.572083609361,-481.5307207322549,203.284748706,-1522.731903569322,-305.6432238291742,531.9071064561913,570.9370586778194,431.85670692723215,-979.6148767248902,576.730961525225,-1923.7848588803256,-1312.6327356610077,-1125.836708369094,17.430316865310147,-949.4202563079518,-817.3265949618622
RGI60-18.01150,-44.0009,169.13,-190.67483770703345,-398.354295256696,416.034061653821,686.5725992863155,484.6241253128118,519.0676042899242,-1007.0220576356188,2357.539814998537,-355.00226025384137,515.1258146462125,-603.6344100118301,854.9777773827087,1599.3837768732003,-353.8704461246631,-372.5306688697964,-127.11242216451876,1305.5840470890837,194.842967581167,-662.6400538650036,-156.56035577296575,-276.18227237256684,-1010.1471237427712,1707.4814674998986,-1953.6927741327704,-5.32630890786535,401.8927424591511,-1068.0248475604296,-593.926115085782,-1724.9588249276453,1178.8572985178196,538.1786098477934,565.5965853876496,-1705.9991563232848,-765.3360913194382,-70.57238537440766,-1805.2944721141848,-582.4282019935346,265.5449535663731,282.8663395097972,187.5351992697747,-1219.2441613657156,311.1484914921478,-2151.033856866233,-1574.3501188742011,-1352.7628665011937,-274.333746062756,-1199.9597686053803,-1077.7532998562683
RGI60-18.00569,-44.5907,168.242,-325.2334147820705,-526.0319924387293,267.97521120833744,532.7743114905926,337.82787533875774,373.0592562319621,-1110.3686562905366,2166.1423161010325,-471.7083812597503,377.4261115835869,-708.9265946734172,713.3486586909905,1440.766120514914,-457.0294129392479,-471.6812341249415,-228.9672428500622,1169.6624778851597,93.36359879574796,-735.9303510595861,-237.55634934318397,-347.5023797244449,-1054.6987060596211,1597.914046750347,-1957.421624409056,-54.16401451581911,367.7989255385836,-1103.8654944545774,-633.1326794605623,-1772.3434445702176,891.4794253119117,296.0769966000317,348.7196588093055,-1809.7186962217415,-932.3049486131728,-243.7410824677916,-2026.397047322399,-793.7750592961706,83.77338606769305,-11.973320742709973,-51.06609106464413,-1437.3244979189042,-28.6851757660628,-2319.7780804917584,-1890.1157659065636,-1518.7613022844307,-703.5870635880053,-1440.6246685758167,-1350.502324840925
RGI60-18.03156,-43.2373,170.913,-498.2638433110898,-705.6824420860149,108.2006990611078,378.6466011627591,176.96424483880378,211.4988111803835,-1313.322509142307,2048.828545604704,-661.5484653890179,208.0484952770097,-909.7464514794344,547.8885141901998,1291.8500306360515,-659.8262446470741,-678.3774138953287,-433.0677516379393,998.5991157092316,-111.29597440976532,-968.178375286418,-462.6005598338848,-582.3576793060514,-1316.134524955949,1398.9084518941895,-2260.2400293853184,-314.1742602323756,93.7553643851282,-1375.6637396335425,-900.4928398058424,-2028.646367703666,692.6408619449162,133.37813685810175,202.99114783248476,-1914.6822695808755,-1050.234219820838,-348.2330551247733,-2251.6592454016454,-889.2511257256169,92.67045614041174,-249.90823039282856,-29.30422301639396,-1506.614204175596,-162.10495279075033,-2338.352135900874,-2146.953663547784,-1432.4801976151134,-1053.261153470171,-1534.9105040056463,-1487.537682209383
RGI60-18.03102,-43.3236,170.802,-176.58780815576463,-381.6208601459753,430.1286850873179,700.9847596839406,501.943478312826,538.1659212340174,-977.8137743274228,2371.2794530457736,-324.62596390233136,543.4661722789164,-566.6894216875361,887.1766096982507,1630.8145584872336,-308.7766976633532,-323.67425932059217,-75.58164311838715,1353.8761332092745,253.6294849219236,-594.3058595000196,-85.44845637056915,-198.61231365827447,-922.5602499806154,1787.0952041251512,-1848.7419352185557,94.39905499199364,504.2383022747953,-966.3822591869184,-493.4208937147989,-1626.6908665316923,1037.1268977933494,455.9649524356684,515.1720548816804,-1620.3194096508882,-758.251893408308,-105.14028038626938,-1995.6129252992505,-658.2624147778995,300.9390588265663,-14.453896874947446,106.7232632784185,-1360.5083091153408,-5.179718768145258,-2203.4944539921767,-1972.992707432764,-1309.6222220108996,-852.3630234135676,-1371.4763450406087,-1311.403699347141
RGI60-18.01958,-43.8038,169.947,-307.54356251091167,-512.8259434989769,295.523324774694,564.5770587880701,365.110324458069,400.127673269402,-1112.3881550558217,2225.251080622125,-463.7433557775604,400.2977500388773,-707.9682146425089,739.8594287893627,1479.5117084970605,-456.00302615512055,-472.8332081069377,-227.6237361786061,1195.1868229593758,95.84259238161944,-752.1351772396405,-247.63272910947603,-363.4078325506856,-1088.2089490482847,1610.1162324092722,-2017.47955675103,-82.51363168399018,329.260890244806,-1141.194854554335,-668.074279731266,-1801.3403585544925,1008.5218892633886,385.5501871252576,422.6669259392109,-1804.0089800232292,-890.5321411599799,-212.0547273067828,-1995.541026237809,-738.817192084514,145.51938361919522,50.64222791041561,28.50341937419548,-1391.3883870117818,69.43854326331665,-2289.669775275333,-1835.0022254769244,-1464.237612765094,-604.9415255702336,-1384.7325447655348,-1285.555244936963
RGI60-18.01959,-43.739,170.034,-755.0660127285634,-959.969090996992,-152.5701062586616,116.24988204398753,-82.82683554100487,-47.72129341747555,-1558.102729436236,1775.2898705331895,-910.0034046824125,-46.93218190886611,-1153.559755714286,292.5498837687198,1031.428518154118,-901.323740395256,-917.9064243971136,-672.7818747680622,748.4050545598534,-349.22866206791844,-1195.8174594341692,-691.7020312143293,-807.048260720877,-1530.6307988282083,1164.3732059378945,-2458.2663571094818,-525.7556668399334,-113.1747030335682,-1583.5525906743785,-1110.2430925398585,-2242.954576851008,552.9364770426955,-64.73154836091437,-24.95205447937674,-2240.890703195718,-1334.181974985819,-663.823756855558,-2458.315510224821,-1195.133276701133,-303.66612674615953,-420.94631380419816,-427.62427386225306,-1849.9806287560232,-402.9725394017767,-2741.5084932054706,-2311.167638350744,-1910.6417688915517,-1095.0340794423132,-1845.7151194527687,-1751.1014703789378
RGI60-18.02436,-43.6183,170.118,-689.3830167104232,-894.2604300122196,-88.46230984662623,179.59567388367168,-19.51806974539658,15.157142267792786,-1493.2190935970875,1834.4500059528973,-847.0206106453098,14.200440721578415,-1091.176098340597,352.08993703851075,1089.2123837998372,-841.0873867539055,-858.3091577269608,-614.2869532812857,803.8773202958572,-292.8243766499662,-1138.931976054771,-636.5317001828015,-752.6460823783832,-1476.0468247321603,1213.7241752700672,-2404.005221460054,-475.20397885576256,-61.68097508841578,-1532.0713761472048,-1058.8558357024085,-2191.966027363675,581.8933479375892,-22.057570765275987,25.00585230613098,-2167.6814401753613,-1268.512776379658,-573.6614178945721,-2384.021371441986,-1104.132104555346,-195.46503235797368,-351.3265247743494,-308.1768033548482,-1736.1285468526592,-314.1183114078351,-2614.4504304047414,-2230.851564147148,-1773.7147531953394,-1044.6035381649144,-1741.9684859232104,-1658.2943219395677
RGI60-18.02504,-43.5584,170.379,-1105.350280552173,-1310.2284754970217,-504.2219134493552,-236.06580672638609,-435.17734115782366,-400.4514329867369,-1909.0953060602424,1419.3034425479636,-1262.6779973710595,-401.2383511552618,-1506.804190064417,-63.20489405801328,674.1006088454116,-1256.5726371649937,-1273.7817459453297,-1029.7044754674382,388.7416880448343,-708.2174497570866,-1554.55803650826,-1052.1484615549934,-1168.4278426871974,-1892.1779474220968,797.8777544064768,-2820.937416596856,-892.1027053376989,-478.6014736329246,-1948.813004486273,-1475.224830442991,-2607.3646782954315,139.09486203832378,-451.2182404835968,-397.04360192334366,-2564.158311501264,-1676.852237085001,-978.344167805876,-2815.0161772329484,-1514.4298225439725,-586.3347278332673,-798.6123512656932,-722.2700780201835,-2162.702103852137,-769.3717325526247,-3026.9945219210385,-2701.718344690766,-2169.147469976466,-1544.427294375054,-2173.82290469474,-2100.5338771119177
RGI60-18.02499,-43.4468,170.492,-196.94147548874892,-401.0986914483987,406.47411628192384,675.828370754854,477.6072297856701,513.4724413832646,-995.1745232275608,2337.102211257514,-345.64150519100787,517.9159638738834,-586.9750049462956,859.4178986287411,1599.0881802719746,-331.1780362709628,-346.32072465759825,-99.80044958444137,1322.2004320537733,227.0238667736052,-617.1160028635826,-111.21435136895067,-224.26083352137877,-945.0609659964172,1750.7303442290229,-1867.427393306862,65.83009642710832,478.5713064640103,-992.0907537419392,-519.2610268402356,-1652.979985791261,1045.9408217650157,452.26866753907706,505.10008810540944,-1655.5731527375976,-778.5373232923108,-113.72387500596945,-1967.4224841706737,-660.9950224422164,271.3168323675261,26.660794368685465,80.19191771554858,-1368.3500688589393,13.38900548251206,-2228.605059065814,-1927.5179278759613,-1360.1815296655814,-774.4766654631584,-1372.666258238526,-1299.8586923510993
RGI60-18.02508,-43.4441,170.591,-1130.0838919464832,-1334.4524943666972,-526.2448148088748,-256.7116555457635,-455.1510655845823,-419.3126236729273,-1929.2894222108707,1405.7164931144016,-1279.3577895297735,-415.1616183530346,-1521.077956055377,-73.58046743558484,666.5855455506204,-1265.4457542926905,-1280.7673564147046,-1034.2334853178215,388.7346794966762,-707.6303726416315,-1552.799823406865,-1046.858721405561,-1160.4659580392106,-1882.434331821474,814.9493806163917,-2807.015278261892,-872.9031406627381,-460.4696558909629,-1930.7983806359805,-1457.2672689508406,-2589.1342434410008,114.08373499863418,-474.7313112728429,-419.81623799076857,-2574.181858007896,-1702.0687515372083,-1050.6216969576576,-2914.2796856249784,-1601.2103836323142,-662.4618425556932,-922.8132347879736,-844.9061015501366,-2296.318391551234,-921.0567134469976,-3151.674463621612,-2867.4543157506314,-2277.942649261293,-1723.6269844446067,-2303.073766625398,-2233.7923119898737
