RGIId,CenLat,CenLon,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-06.00234,64.7989,-18.6422,189.69001300028,-222.4279998131438,-432.5656250919593,282.9953577484493,-692.907128274865,-625.294114885369,-389.35700576892737,-119.739233457273,65.74659857712544,-43.280360771056735,-1052.720547189958,-892.40363448344,-412.2735592010075,631.7172248859492,-1048.106537909992,-82.72776946757313,33.28117771716279,-851.0681238659108,389.3602146714404,7.08204565072751,-1496.4468951521449,-808.652963040003,56.66665482728338,-371.4801515975104,257.03732757585107,16.228152860701464,-152.28697075078028,-51.48519563727524,-702.5022743351612,-561.7197652354542,-198.03657546012613,-1060.4744506235545,-61.73163665647909,-544.1553886573025,408.7162771855628,-123.95367580649749,-510.6319798249685,388.9859251305809,410.0811436090477,-859.6670983559429,827.0459374286188,-360.2186660458323,-1274.8445521525236,1126.1544345422144,512.1336791592726,-322.4001397402338,-858.2888934275165,-1364.316576074561,-1279.734593858867,-1251.3420099212772,-907.8358289186988,-1335.0278231040995,-1627.3234562863986,-983.2008777479816,-1443.9457070003673,-1722.0631875441543,-506.6946906344895,-752.4153815885002,-936.918761810135,-977.0135039634728,-463.2095087279925,-3128.3592512214755,-667.3151971364475,-648.4495180964242,-636.7207253170366,-1226.7359237601756,639.8943278511824,-1322.8280725718434,-635.8734777093985,158.93276906132192,-1654.642181182582,-708.8227772784828,-1136.595986535169,-272.1563452435873,-1301.0881372619217
RGI60-06.00236,64.757,-19.0241,794.5798512648009,365.0970922946388,146.00549905033515,891.2015069258662,-125.61457392384736,-55.41564017134231,190.10969914148828,470.7017002904787,663.6330946384107,549.7480062572388,-502.1225836606429,-335.4842976084553,164.27297019515308,1251.3701474361487,-498.9690471863583,506.1574999186258,626.4474276461208,-295.3900961749988,996.0927657336354,597.1322872689084,-969.9147721288564,-254.35105573691203,646.0365542438683,198.8987702974381,852.3478985776627,600.055149974164,422.8789089198366,526.0240336841798,-154.26758725822273,-10.056681840018657,365.9775754416735,-535.6762491575842,500.9550910208467,-5.918193791230571,981.7432743698196,421.3338282393545,12.612122229088158,77.81332298524902,961.2098739740048,-350.54731338043786,1197.8590728865463,-518.7396821718303,-1350.442644887047,1267.5319361866864,381.7569766563188,-486.8334838672852,-968.5545341047832,-1131.5973991224844,-1199.1934928736446,-1285.4497497598952,-783.0638765385115,-1376.366318508287,-1493.180580756523,-667.0930413994444,-1109.2113062809256,-1372.6069254971485,-403.8003121795784,-513.2653531978359,-738.440051907083,-832.215582785099,-201.38184019736389,-3098.614187935093,-187.8275132025928,57.068698384750014,46.24542928204055,-896.9156446236757,1156.3597341024165,-717.437814691082,3.762775151780936,655.9165879044305,-1145.2155153962892,-203.773114005874,-715.0078009967544,359.53788781242605,-814.0682571683307
RGI60-06.00302,64.7826,-19.9016,863.1114852101259,429.0369318036732,208.09220264985623,963.8599611103012,-64.97742994148757,7.206427665459614,257.0147103249283,542.3889760782359,739.0287349974653,624.9665267684225,-439.0703753077269,-268.88240706947704,238.77205974614677,1341.3846490591711,-429.8077163479743,589.946154262713,713.5898781236776,-218.18010322853027,1091.9100497693123,689.9610304343173,-894.9497138570001,-167.7871943007808,746.7286923893199,296.5807619305779,961.3460658277966,708.9442956848031,532.8569020897104,640.9519936659918,-44.16106443670199,106.14886237626052,491.6334791905882,-416.556444244642,638.9255410051043,131.6409860403617,1138.7471685591242,578.6704749788355,173.14832300579323,248.73941115045784,1154.377152226998,-158.43004632578138,1393.6816893117054,-8.436917319553999,-842.3621200073833,1729.241396554091,1087.301429297522,263.68008974068334,-224.62909868716287,-413.1448653348844,-173.4833315178331,-29.84479055400908,362.5254052408817,-506.43408067696737,-682.9238779594747,-452.5052393493426,-796.0492732296043,-867.6420517628678,-191.587610762239,-434.7411814202418,-686.5930273415413,-890.1794715721505,-57.08175420801609,-2953.3404199982933,-362.58072482423495,-68.61769324952499,-163.33566329198368,-1048.271913529421,940.126382682139,-1001.5158779680328,-321.490868290039,496.07791964940935,-1408.8963077062408,-233.98707996285825,-992.3375614152988,340.2010215721086,-896.4969411547926
RGI60-06.00424,64.5628,-17.7174,338.6020632779036,-57.377456013793946,-259.3199229646336,428.05586810767846,-509.5798417204071,-444.7114986054153,-218.1437082360832,40.76923486099484,218.84238100908905,113.95951561904036,-855.9746859887489,-702.1328745709562,-241.06553172138604,761.6830052184247,-852.3868510674295,74.7795123937296,185.9136528559708,-664.045342714172,527.2400006235129,159.52414017703686,-1285.4486572663711,-625.2718539390395,205.3714141682572,-206.72706359177536,396.2054210288636,163.83325595623168,0.7544111531778377,96.22050929776276,-530.8178047358972,-397.4367168358063,-50.232636443494286,-881.3503203809253,75.14412084600252,-391.82728238850814,519.5704773454866,3.297717013407944,-373.0391848838203,525.8156640956958,503.1620976938048,-725.5161002200946,841.5613384190788,-239.86608496450327,-1130.1573034238363,949.541694229492,759.2062803838862,12.571540766566605,-650.0370124667118,-827.9470017554004,-637.1076068342056,-1032.1216015393154,-605.8040202820223,-883.4357671130545,-981.4532517785397,-484.8518165165189,-1116.9519330698,-1037.857218268508,-826.8925520430473,-626.9962003181415,-510.3643320578957,-717.7730070455463,-275.5832461111152,-2835.1729035631856,-704.2202139154515,-558.7187878546828,-600.2414955469229,-949.5192684643844,771.9266410203936,-972.7549796755162,-347.30686135301204,36.10534646124357,-1621.73972048516,-435.040627508115,-1427.9757454880605,-34.70259263757153,-1019.8236721873192
RGI60-06.00476,63.9845,-16.5889,646.683549396663,327.31671143407823,164.40989053058087,718.6065108249146,-37.53640100288237,14.691700330381224,197.30346379666275,405.9931543518146,549.4932516172698,464.8260280105828,-317.38438739137376,-193.43711214499305,178.2377974780553,986.6944853627932,-314.93993873819977,432.558038975413,522.0371429005567,-163.4738198698842,796.9748469329618,500.30584024283945,-665.0246506518021,-132.86755286784953,536.7344053112275,204.2323750913164,690.191798556713,502.5835875863412,370.8333937659831,447.5434265776352,-58.36260131153662,48.87621526242465,328.50630514035305,-342.03860794321554,428.8339218240821,51.850299221508266,786.2796295924132,369.4513806492386,65.40600418547638,983.1993593164592,770.5662716474895,-269.98432438084376,1049.8451643102264,-130.39650644706938,-711.1703409183237,1185.7881745168552,1152.010350219929,560.2511635831345,-166.71588008610323,-369.5502183771311,-530.5118487196988,-637.526543515528,-258.6871127519255,-868.6656493267226,-115.47648676563747,-286.58165881524604,-574.2115572707775,-767.5583996806777,-1011.4327194421317,-506.6627124536245,-120.18799828995168,-367.8220278338889,78.303352444775,-1894.658449030252,213.41129118837267,-430.9865250088168,-50.601653572162505,-221.3571977588726,1082.628063791138,-539.7905056066264,22.519742192462225,203.4457549072464,-792.4587213819186,-113.27547327510226,-982.1211819284658,180.81471222053477,-704.5165478462695
RGI60-06.00261,64.6425,-19.1947,438.64389968611897,14.8255614613405,-201.45273527488348,533.506693456794,-469.7155647704435,-400.633497410533,-158.60299455702958,118.0132353563474,308.14775679763073,195.60895320895057,-842.2343789503807,-678.0607581874833,-185.2833195265688,886.8792642964182,-840.0205706418195,151.25950287780825,269.66129054816,-639.9790799271807,633.7466027183967,239.88255859128012,-1306.2818402103444,-600.7304554118573,287.12670595930933,-154.3319931806018,489.8867367801362,240.59322719589096,65.3749748064819,166.65848276733126,-504.9268871683453,-363.19668719579056,7.18394429744783,-882.8802868192485,139.07443802599064,-361.64652704311095,611.8921365252395,58.23673496155885,-345.85673870987966,-282.52272158525443,587.8414483495753,-710.7872827317225,836.8366185986218,-674.4532344166291,-1525.609990922031,1040.0259950739087,293.30127785803853,-576.6413599228567,-1103.012675681592,-1353.417110123359,-1341.8780368940706,-1389.9024981912175,-873.4069671723945,-1401.981803002754,-1519.504362459816,-1019.58424546858,-1394.150320211966,-1574.5865532726057,-509.7673854728447,-665.4713524692697,-877.1397330325407,-1003.2610355396732,-317.3086517633743,-3173.967765047405,-485.72179983752295,-271.45585589325646,-309.6777040393447,-1171.1047739034238,824.4690397437987,-1075.9181249984176,-386.64567892063326,373.5422251871082,-1462.1537354260508,-433.4708105475232,-1055.73719907958,125.44074142659696,-1079.260460893609
RGI60-06.00481,64.1303,-16.8613,219.53631853319,-111.5253467571294,-280.4919160209747,293.49140007525995,-490.1094402411056,-436.20309004558686,-247.21913261559183,-31.223908644617588,117.22447389646386,29.272473459273485,-781.377495605759,-653.2103469420912,-268.3934437667865,568.9424521474316,-779.8926680815849,-5.732731175611967,86.67564760207445,-623.856203873059,370.8978065335667,63.2016364209154,-1144.485106826537,-593.5025520376774,99.86506520451624,-245.01355594024852,258.0588106134884,63.26332369195251,-73.67911017807793,5.333990427365059,-519.2937699886961,-408.69472835907845,-119.51332486726402,-814.7866258299755,-16.70502919082463,-407.8889049129886,352.377593617437,-80.14854771377671,-395.8587338388749,518.2331999155801,333.212530318589,-736.5377494557079,817.8383505781525,-269.9578711399024,-1102.3103281113358,847.0789779438949,694.3141656596779,54.11865763790148,-632.7872539694084,-912.836684082591,-1026.588796085956,-1096.5063208533156,-724.2454713620465,-1259.124984380317,-752.2599539355447,-752.34834899324,-1103.37179742928,-1307.5798985575884,-1274.3574275073058,-894.3317425367951,-604.3391900028616,-809.06876800497,-345.1288774270966,-2445.3154476948844,-266.6386906318102,-805.1956735658894,-473.7391527069801,-689.1282350295803,766.1776251508239,-917.692543763624,-330.3708970255572,-47.30664532122034,-1177.1146578924995,-456.2392034783019,-1247.4656382158348,-165.45927313859812,-1063.2509349914342
RGI60-06.00479,64.0963,-16.7823,100.45564471667149,-230.3411675615568,-399.1316548919898,174.61276338418497,-608.4618350397873,-554.4971298849214,-365.52798579082815,-149.55991357719242,-1.0977730101418322,-88.90011325059501,-898.9911894376564,-770.7891524408744,-386.07798448606815,450.9016884714725,-897.0576277862551,-123.21042968741614,-30.72751169520435,-740.7292555171177,253.60160735576704,-53.78107765522998,-1260.6435480117775,-709.819230618822,-16.684114305309716,-361.20597941497294,141.7530785162002,-52.75709413114164,-189.43983472365036,-110.2811828331727,-634.4168210076942,-523.6747726899125,-234.44270736512735,-929.1041389951446,-131.241304010572,-521.9675476962203,238.1178837167608,-193.91148011084312,-509.1834551513282,405.2234612371743,220.01567308964133,-849.0039530941276,705.1904130644252,-382.5250380177174,-1214.1174283634157,733.7451984543922,583.2823921468988,-55.32187888621792,-744.1075012075833,-1025.05928615236,-1138.34067604699,-1210.447606113552,-840.7481547045118,-1381.2488988906764,-866.5331771366991,-865.3641027036473,-1190.2107907136128,-1399.7386706298405,-1383.0307366467057,-1005.6596619368794,-715.9480114352899,-921.322124417296,-455.7193642544885,-2534.2147195759107,-376.2184762343022,-921.9249311139248,-595.3380654123976,-819.0800673750418,591.2525225237222,-1098.713951757441,-514.0108548389078,-229.93949597514364,-1360.636682634713,-637.3557243809468,-1421.8723478286788,-335.4933541789147,-1230.8137595969863
RGI60-06.00478,64.3037,-15.9847,322.2281866858833,7.261229768988276,-153.4423793455572,392.8788722536193,-352.71195236725947,-301.2920811199648,-121.31563605069974,84.3791830421355,225.80922748077032,142.28954453588395,-628.9548744435546,-506.76899903697887,-140.32344802284558,656.7802692195555,-626.5195340106812,110.5262434711587,198.8320186958944,-476.92434957825344,470.1741293835547,177.87292180856477,-970.8260149031436,-445.8442617414096,214.7197734273824,-112.6483567785373,367.0353329473405,182.73783682412284,53.65186667509394,130.2618329365201,-367.3519606517714,-260.1982179834833,17.219354652886313,-641.8162320958081,120.74530875256949,-247.86123702318991,479.99708611036135,73.61815532121739,-220.550148362525,705.1983620883378,489.6200442576246,-530.481894657205,799.3743914735019,-371.9117807848989,-914.850564949178,876.0010921325729,901.7579836548376,325.12066978692184,-415.19928132544896,-622.7772003478058,-765.784844389283,-934.452551077594,-597.4870250107041,-1297.6685869475175,-359.2741064517345,-656.9183980018072,-1020.077789353172,-1219.2332643114912,-1509.087926348727,-953.3267794126696,-541.9930630357868,-797.2430225526069,-325.76945803503,-2166.368012273794,22.78346078570889,-718.8136808669074,-297.103376873797,-398.6503267893992,935.250506410552,-673.1658458924876,-132.41580898557214,29.67129821141697,-863.2594787109272,-288.004898640932,-1144.8538373949573,16.646765748726768,-908.9999691154444
RGI60-06.00474,64.0267,-16.7414,170.65737991407946,-150.31732493945955,-314.10133584295824,242.575967988627,-517.2293284726877,-464.8781558653135,-281.5350609978133,-71.99461707045586,72.04792175315994,-13.148943146720631,-799.1606701295383,-674.7712215345648,-301.4961512805121,510.6046347942308,-797.2767248261401,-46.42594340917176,43.31970110026154,-645.5589974940765,319.2327472369264,21.013633153559557,-1149.939487684264,-615.4518173689471,57.12382444794097,-277.10088106803164,210.9717104587359,22.321619223930576,-110.20610256500342,-33.29262225593447,-541.719441650765,-434.119800045115,-153.3097599735489,-827.1124086325366,-52.72330500639344,-431.54385919149126,306.2897782880499,-112.48653996656716,-417.896551182598,499.6426675266089,290.9222807093048,-752.9763004136469,567.3516077627017,-612.1852556855548,-1199.9145705586066,718.3575007284195,675.2186332541778,85.39835221032156,-637.0596198606702,-835.2715445202505,-994.2799294164804,-1080.6539533578523,-683.1539882818674,-1262.937482165703,-565.9297450163974,-733.3099890681523,-1110.9067207320425,-1300.7091297336067,-1539.2928019201504,-1051.362267168992,-669.4510924848878,-914.4281911113192,-464.6846676676758,-2450.416770791191,-255.8778956154592,-844.8559532365988,-459.2885520904317,-633.247064056202,715.5214333050972,-904.5738435028657,-332.69366409685745,-146.46113835550042,-1166.693384315171,-472.3921764664569,-1354.677820446046,-205.8875837246102,-1088.9875296368748
