RGIId,CenLat,CenLon,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-16.00502,-16.5043,-67.8328,248.76564378370136,140.4809657945306,561.1854055791268,700.3156885303632,594.8034857027636,611.5730772421873,-179.5173726928086,1560.8095583830427,155.36494554099525,604.265173225533,23.517867000492537,776.7071598780435,1160.0051727698865,146.69534281485744,134.5046825574532,258.685812323956,-738.6232158443974,676.0896263586129,70.5921431923125,-655.9519898113124,-449.5540099554247,801.5911844971004,-1653.0875534182396,-52.60341314300958,287.66237837404,588.3849968106284,-4.053184187034853,-196.9190842638492,-631.4481627052953,-1534.086666053551,124.549306429458,110.4563293396466,1022.551288246082,-575.9325687862365,-1147.1456600306592,-41.25449720890276,142.46745915905456,350.54259630470904,191.1175216610118,360.6739555965323,-1266.832733253733,-300.2935619059356,432.2103203532299,256.7500837871601,-199.76179465865837,445.3976677757534,355.00973185681227,-638.7729820259763
RGI60-16.00789,-14.9841,-68.9895,-195.38124459942543,-290.96648776285224,78.78696172071338,200.81392034810284,107.60150143370734,121.9354011757688,-574.4453005048848,956.0628394685144,-280.84229288163306,113.5037674143856,-397.9902759319344,263.94614860856046,600.4263272470362,-291.7738073122462,-303.3512580926872,-195.04666943519464,-1160.2776828784322,253.43835023473557,-353.1610454054636,-1175.5616358953964,-814.9861426514749,246.36091224127424,-1945.277027542141,-368.4730496344081,-87.37794293503002,58.59080286466595,-514.8051174586794,-677.0998017384885,-1020.890116747222,-1828.3205723336443,-277.46278505179873,-266.7499664142935,730.689421589633,-883.5574792226498,-1331.7765833003675,-241.58003987756155,-171.56480722571493,-132.56453426444855,-217.8630318882813,-175.07431967038377,-1508.1422435419345,-602.4106625119163,26.885373756187995,-266.24585203868537,-639.5065830080678,43.902768141627135,-25.69870943236375,-1014.8343567518698
RGI60-16.01776,-13.1592,-74.8658,769.4793544528214,682.2151486797047,1028.1845401912294,1143.6915132601052,1058.985783757451,1074.52240219156,428.6959212023673,1855.7826846350008,707.2101627207903,1077.1848506508325,604.2606087795807,1223.807951397453,1540.7282253120975,714.3583887841023,708.0385147169616,813.7391764985834,-129.2658517765568,1290.5604644961031,690.7278493756418,-298.3443969963802,356.75123228542566,1080.6023607572806,-614.2544054413249,931.892989123422,1115.5286022347864,974.9559213362734,433.7164287418018,293.48913919873024,119.02613983109316,-658.8274284203221,612.7776129593594,644.6794503075758,1825.6462589140688,171.87514121475505,-199.59057367392336,859.9309650868873,820.1910935262706,629.5048310179441,624.9861583359797,451.2876861742821,-540.1330978842345,294.502412582567,766.668998297388,313.487721003168,81.94971187998989,820.0735791584923,750.4776616900378,-189.7173181386017
RGI60-16.01929,-13.0769,-74.9057,332.2886941513277,242.41276830021343,585.5019572355363,698.019482875299,610.1915593581367,622.377315232836,-26.84970242410664,1396.051141318325,243.69506347680883,609.1917177205835,131.6786955067845,745.9846467607625,1057.333004977066,225.2324759404475,212.4570368823788,311.10172571818805,-639.5115805440741,771.9395441947512,162.9530506904686,-837.9317464893629,-190.6987725088438,517.8712062254751,-1184.1033195165849,349.5438430930453,521.7658595337255,379.4890637716522,-159.3673235875065,-295.8042633483968,-459.79914049447206,-1108.4844631401393,186.5077181599356,231.63896409507592,1425.8522651684518,-210.73516090504603,-484.2444141686975,589.6969619563448,558.8066303254418,377.9667812412929,398.5508945637771,324.78792754652864,-659.3111893479283,176.96163179640624,648.5172640216315,194.8682867178418,-43.31025906811607,684.9189440796755,604.5061512748847,-344.8094493325639
RGI60-16.02681,-13.0355,-75.0296,168.4079864790935,80.04352338277178,424.5889648602159,538.7314223146723,452.6956802721848,466.7523659977642,-180.26613565808023,1244.30143939019,94.59896294113142,462.4166520246454,-12.321091253358196,604.6028089870083,918.8882906524348,90.34255419910384,81.126950028335,183.5974944471797,-762.7483422244311,653.2657879727304,49.242876015328406,-948.715805842598,-291.622401615177,418.2447657159036,-1270.4194660559565,268.9351590234529,444.9352533487445,298.0310021587821,-241.25819531929693,-379.1407399622533,-543.7747303702639,-1253.979107186845,20.31662421076669,58.90499354942845,1250.910999542126,-394.5115854326128,-725.0749776653488,338.1720108649096,300.4427709014471,110.41610384517328,117.14298444462972,-23.519727864426777,-1007.9466181160363,-174.20025583595816,293.7894983035972,-162.2938725154048,-392.7654069300791,342.0658003766198,267.5782230449316,-674.1993849928266
RGI60-16.02936,-10.9353,-75.8885,-1721.691347440397,-1809.86427122423,-1468.0694665687322,-1355.1501624163857,-1441.0877222098436,-1427.6385037607638,-2070.841666061136,-656.46186182901,-1799.038633074511,-1434.3713754016655,-1906.6300681919145,-1294.6431211698923,-983.3174158183408,-1807.1891070772256,-1817.333631226068,-1716.6342238665172,-2662.6483600586257,-1247.927777813258,-1853.369593981008,-2897.9910756888244,-2168.4706586451957,-1550.203784428333,-3114.6865961010108,-1587.7994287638162,-1441.012804834137,-1661.5479170949616,-2191.55309293733,-2326.961788182497,-2435.2573028185884,-3069.4031260726906,-1935.399418460761,-1884.9603664599751,-606.1836964836727,-2223.094263271688,-2531.2605060295327,-1501.285614021548,-1547.432222631944,-1765.8838517248182,-1732.9609327023245,-1870.344010192381,-2805.507920426882,-1984.9977217157984,-1574.689270678924,-2061.0470772038766,-2240.5562232601483,-1509.5009944280353,-1603.722683524658,-2515.0918335842694
RGI60-16.01642,-3.0622,37.3657,-311.2714449143724,-406.3317947509081,-41.92131905251685,77.8305419769045,-14.999168103957814,-1.67400178822378,-690.2012614748762,820.1956654589123,-402.1851885965543,-13.821346262772074,-520.0059433986465,132.4629231057058,463.48229629920206,-418.8548254731231,-431.6904481747837,-326.2331796703888,-1289.9938205873711,122.0837653516724,-486.233523051947,-1538.847166570034,-804.6870000312875,-199.69544636991031,-1754.2624635896275,-232.11820258890037,-91.31598474632544,-319.5076818426808,-848.0708627057135,-982.560234097125,-1083.4960120003648,-1766.6917863536185,-303.2718488549695,-237.2646521070398,892.4033483456856,-884.4938905688698,-1085.8331781913732,57.99324680937136,-31.91924879782021,-361.48491830951787,-313.14968144885586,-523.4361157557312,-1320.5385920884837,-492.8707041575892,1.3508867908680091,-511.4973282397244,-785.8120068396809,18.36206272000658,26.74459377346374,-1030.1713280337865
RGI60-16.01643,-3.08123,37.3622,-122.24860365556846,-216.61398726391224,148.5304626446711,269.06235553381083,177.06275308412057,191.27128299911064,-496.3102509617876,1015.0870171491435,-206.208784706554,183.31196795590148,-321.62325536563253,332.1877207068248,664.6603296980627,-216.0952287867927,-227.2160639664012,-119.8906037789642,-1081.6089824610667,332.7020821565855,-273.1691598011966,-1323.1006570593663,-586.0337275223008,22.112582675977517,-1529.16350035662,-3.728089086157405,139.90521630524813,-88.64404895755757,-617.797740534668,-753.3728563307463,-856.8341315354774,-1575.5985421767457,-119.66283942867668,-57.06457387989805,1069.9356126628031,-710.9963603436815,-934.9463017675512,205.24367867008291,112.95169667414106,-219.5950371860642,-177.75274045287688,-416.16503620499606,-1214.7939378806411,-387.8139378378257,106.01643179834603,-407.0812573286584,-679.1187175875139,127.76579821726722,138.92910410531954,-915.292384002837
RGI60-16.01644,-3.08321,37.357,-159.7922477393327,-254.63757134511573,109.99791036541777,229.9895698848649,137.4155428397969,151.01202893099818,-537.2224212580508,973.4754300338462,-248.56841471540776,140.14815766820684,-365.6520590116917,287.2253040800934,618.6888201066358,-263.1594293628627,-275.4672068403708,-169.43310936672407,-1132.5583784550568,280.2183279310452,-327.3254293128412,-1379.0743774135765,-643.9727206354999,-37.91617821985532,-1591.3586382688743,-68.02635565981834,73.85759846976745,-154.5128823271705,-683.4085944816857,-818.5689591768718,-921.2307370727908,-1621.3165676780015,-160.51817104225708,-95.30054932667385,1034.4596372528713,-741.0246353907468,-931.2057389540896,213.3047418866853,122.98625465424088,-208.1002377957249,-164.18155513577787,-404.67212819727735,-1205.2959320370685,-379.00176699983234,114.54221060034902,-398.6880914135287,-670.9506209927113,135.42189448484328,145.86879906030634,-909.1885469700794
RGI60-16.01645,-3.08225,37.3521,-259.4401886531747,-353.5810062647722,11.802184345611243,132.58863321594364,40.86101884628293,55.360732373153326,-631.9080445688027,879.8251447898924,-341.1072331721121,48.80646777981495,-455.7016309801432,198.57462060196443,531.556538768786,-348.6389371381944,-359.1418072638554,-251.1310011544638,-1212.0853967527548,203.0813698767702,-401.826814574457,-1450.6694449639654,-712.3729564900298,-102.83734331857488,-1652.576204836321,-125.50817501877248,19.639067773677223,-209.19178053680784,-738.8412964170741,-875.4202118239206,-981.4453940398488,-1722.8562958932068,-270.2579251818304,-208.7736643284409,918.039115433149,-862.0118001283477,-1075.7265332213935,65.52672515051127,-26.82384312328335,-360.2956017266451,-321.33975153858705,-579.0314597546032,-1379.771447839522,-553.6164269420752,-60.19292199489346,-573.522580206502,-844.2943297368593,-36.03581257460424,-23.567598441489544,-1076.6052400571891
