RGIId,CenLat,CenLon,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
RGI60-19.01705,-53.0838,73.6268,365.0214014970645,285.8927461070872,609.817314547355,719.5237194795643,643.1574951710799,660.1744467881725,62.24482605939987,1392.4435775327709,327.3061358624329,674.7371475843581,238.45653554752295,818.5126887902031,1117.3986356504822,353.2725117694668,352.2052119093319,455.7186193039991,1027.7754885637437,597.7610602844359,268.1514665604504,476.6208163942805,438.9409251627246,159.4283957088497,1240.526605815017,-193.5931789803937,-101.03606580969564,407.9215719567487,79.23516810238974,18.890308516176567,289.6956983464885,166.2983916470699,-396.5771058764036,-188.22232183354768,64.53902400544027,-203.21313427510268,400.3113027392352,171.39250759936243,-48.11863586261828,107.5067414875466,239.5747124321499,192.7917012535009,-168.73938932197353,-530.381925019004,-510.2016829830994,-22.826278336614767,-1037.3827019076828,-473.97281422763376,-324.47038492216456,-1082.8073736047563
RGI60-19.02059,-62.6707,-60.3547,605.122047482743,504.2198035881143,903.4384913373272,1036.5926703257726,938.6014935199706,956.314270956586,210.5160897148724,1857.7074710729655,531.4800371366752,958.2637303220132,411.9532059791492,1126.773222453658,1492.1871063768058,537.7082058619771,529.8451995295443,651.221938106321,1353.5342838512042,811.3557415324041,393.0417466100069,641.7944868306155,584.2016952922405,225.7005206510982,1555.5564576275551,-236.2963602209598,-22.802051138011443,487.0395351652492,214.1449931922257,-9.738212141307098,322.3710601341584,331.81618360979684,-283.3148445225873,-141.32002244341652,322.4778378456399,-43.024210476214094,640.2502131723489,520.5039456802731,286.45819180311,416.4171218700664,596.5636800088301,703.7546218511118,450.16844292384906,-129.02383611309895,-196.9981605781627,450.0873253234259,-859.4687979446855,92.3857510387574,87.13611992910076,-689.9361689734884
RGI60-19.02056,-62.6912,-60.3991,528.6696144449063,423.858924648502,841.7951488175358,981.6885227715334,880.0388319988782,899.3657883045289,120.74594062710788,1843.258601469196,458.1084990968603,905.2167413968926,335.35067349205355,1083.6587130114538,1466.8669019954248,470.6621902950116,463.9376108208821,592.4078948073211,1328.1821112416858,763.3926225553973,328.2099685363807,590.3759554591081,532.5047477653548,160.2520895926838,1552.6661116733371,-317.7367449826021,-72.31914975200144,437.3303120818689,207.76632747210127,-70.73832052531883,339.06960564718486,250.31466533240365,-422.69569585464376,-207.9128636362519,348.19576396702865,-107.89661842491066,616.6522945354975,426.9921440467584,86.82835908355386,323.72869714088995,492.2162748153836,555.4553657887851,284.9711464486093,-336.3090692011623,-429.4380586260279,249.69278522810103,-1061.84197006948,-108.6235586939466,-88.22938116783902,-864.5029317712706
RGI60-19.00002,-67.6507,-64.7861,174.7394227377049,93.1712145292628,415.78247369692536,523.3707033279953,444.1564910282384,458.4508695438676,-144.29472700476504,1186.886859589048,115.06379502300452,459.9622434098761,18.445720104373518,596.1328971964372,891.449016931583,120.08436482929343,113.74931412801158,211.8733660484916,779.5036855800839,341.4024156140321,3.428939492027194,204.5855397445112,158.20394912446446,-131.31412037073684,943.6867556425972,-504.1171673250086,-417.5985080682839,92.20435011066132,-234.2050045982876,-294.7425131292897,-17.900144327495212,-49.54090146055181,-591.9594805079159,-373.5070937623286,-108.52070698959932,-363.0928363712102,335.0158794942224,121.64301239034128,-90.0792782233584,76.09454144801859,229.4572433735872,269.7459881316255,-86.62375046374977,-449.2950062905286,-429.2345400270482,61.0663333369298,-964.2895989098548,-404.8828875913853,-266.0121929521778,-1033.2632871699657
RGI60-19.00003,-67.6569,-64.8917,254.2539467453672,173.91981384630463,494.4243100640164,601.736679373728,523.8452970550868,538.7250941657777,-58.23699001193975,1262.6370012450188,200.622896331556,543.5681634671794,106.7338718051447,680.6744397573216,974.6890386994336,211.0253092486143,206.11532899523155,304.9158853459571,869.4415491217336,436.7845356371901,103.58881856838518,305.2055538076941,261.53925907476685,-23.057101253899347,1045.59841498227,-387.51596776524286,-303.25054991149165,206.2769910617245,-123.12325459623447,-177.9903909522804,93.86690140177043,35.10516297438921,-509.90653782305577,-292.9897085176085,-38.75742718334908,-292.0998041237768,382.0024899171509,163.16347377614414,-48.0185730656308,115.29095528196784,263.399214257838,285.7376514968747,-74.1459966905214,-428.9936595724379,-405.6805933310453,78.65507796571828,-935.604498924703,-387.67260847745376,-242.4582642255411,-1007.4989582880836
RGI60-19.00004,-67.6357,-64.8772,126.84070703408904,45.49443263806227,365.0233466595205,471.24704149541856,392.15478438505966,405.7805654010215,-192.6617175954295,1127.0933597392632,63.300074920774165,404.68735278853103,-34.00967139428196,538.1718107963778,830.2122659227008,64.15949154292599,56.85441054510304,153.07879383777382,714.9098493794023,279.0718393505478,-57.55571259761036,140.46331774226553,92.84611212152043,-196.0249180822297,868.5066370472376,-569.2357875858638,-488.4663853073664,21.481620066717984,-307.1933335476863,-361.0839376405212,-86.57056018234206,-101.05871482156728,-636.1014653969544,-414.50874869794734,-156.14750401019342,-403.4147829450438,308.3932838031257,95.78898279028756,-111.5996559956814,56.39443876834923,214.47817365398907,280.3214440291399,-77.01631189901305,-430.9753741170298,-407.1255203021003,77.78251525501726,-940.3095074539326,-396.2325225611438,-255.46151823125487,-1024.6696972368406
RGI60-19.00005,-67.6281,-64.935,423.4650035270191,343.1562953327342,663.7870422150136,771.175208430027,693.3161802324473,708.2535337557007,111.20059620405418,1432.4591133209124,370.2446699706216,713.338690137866,276.4636387140757,850.6153807593695,1144.7747845423637,380.9975461727014,376.1632316812701,475.0665509361007,1039.8104181512454,607.124980995517,273.92250739527856,475.6584305614066,432.0405427391628,147.41680192751966,1216.3544718142,-217.1262431350393,-132.7731797530169,376.7838893882493,47.51606007975016,-7.413932338997206,264.88434179171065,207.08600254202136,-338.1645323181943,-121.38375945003536,132.969944518957,-120.7679555365145,550.6509730558322,331.2507864075382,119.6053459660646,282.445249788311,429.4987736711888,445.8644064617115,85.48055565143471,-269.84706332086404,-246.76013144094236,237.6723356943283,-776.4011099677755,-227.5562200173785,-81.96623022639503,-846.5512430672322
RGI60-19.00006,-67.2301,-67.6485,113.22140559098888,32.95640439281173,353.69595417491587,461.165070133329,383.363903633284,398.3788926245168,-198.683139222499,1122.8650894139623,60.58591328365931,403.83792453710026,-32.98750584713179,541.3792395247239,835.7243616028446,71.9871925945641,67.32584239803236,166.43803136241624,731.4847949747455,298.9772492570008,-34.00172686092316,168.07337512442894,124.79485722816068,-159.4879633025346,910.0287775457432,-523.2430047418192,-438.4311860872124,71.07208230360996,-258.2354700692115,-313.4385646150267,-41.43474919502192,-103.08085972678847,-649.217933341813,-432.96041210086497,-179.07700019216443,-434.2905689982255,229.5056670011081,9.536481209666007,-202.23709203303343,-39.0934688255626,109.04651630626198,135.77789263343735,-222.98590170866728,-577.8607543726322,-554.5480270804786,-69.85033765328457,-1084.766929307956,-536.3463777594102,-391.4136223277232,-1156.4818318046991
RGI60-19.00007,-67.8429,-67.1959,305.9294226688818,223.755575426877,545.1690739610435,651.8084815384198,571.8519825142417,585.2239092879377,-17.660020426963243,1310.6824462531558,239.22877225053065,582.4882450880274,140.32163745009305,715.8761098062697,1009.3424471929608,237.46980773824643,229.45810003807367,325.6246499181605,890.5047158052884,450.8584894856558,111.02422310140147,309.39704111923675,260.38385360541054,-31.594404275034563,1038.9987834933231,-409.68230738976257,-326.26960379291086,183.7859458419203,-142.65903645557896,-201.48579224679764,76.23430038052825,73.56276655436956,-461.42966118297807,-239.57777505723743,26.62973776011756,-223.09140263412235,500.322919038936,291.21076533144605,82.91589976490852,252.80114022718163,414.4339694680675,494.6210481884541,140.63205053479294,-219.48475958561772,-198.19504896855327,291.5711509076774,-735.401742675674,-181.84792563812027,-45.96584997856569,-816.6820570628242
RGI60-19.00008,-67.8597,-67.2345,-67.89610875564637,-149.85993120675644,170.64394082314485,276.9642080041544,197.20047031634695,210.5019063624078,-390.75365135551857,933.8674616845624,-134.67709117506968,207.5676725773232,-233.4529506806741,340.41733838469304,632.9619954360282,-136.90700839108962,-145.05523434020017,-49.34685351376636,513.7366379549665,75.0204565206322,-264.2257886015015,-66.83678426017298,-116.252815749056,-408.0873092836184,658.7384651914628,-786.867940713117,-705.8731326674392,-195.5895456123312,-522.4681848236982,-578.2952705042521,-299.37462852826644,-287.0845577072945,-819.4490115867223,-596.8120033789792,-333.6003812419432,-582.7648791976598,127.57961229696964,-84.33909280681922,-292.6991572691155,-123.67936382309992,36.78746299880348,113.39659440876048,-241.77967688057024,-599.3222243700197,-576.9615282745751,-89.16841954321228,-1112.5777734931817,-562.957468808811,-425.1582790748266,-1195.3361406199688
