YEAR,ALA,WNA,ACN,ACS,GRL,ISL,SJM,SCA,RUA,ASN,CEU,CAU,ASC,ASW,ASE,TRP,SA,NZL,ANT
1915,,,,,,,,,,,2.570272892865790,,,,,,,,
1916,,,,,,,,,,,2.974509468230190,,,,,,,,
1917,,,,,,,,,,,-0.010859259287101500,,,,,,,,
1918,,,,,,,,,,,2.0052067279528900,,,,,,,,
1919,,,,,,,,,,,0.13824345022980600,,,,,,,,
1920,,,,,,,,,,,0.6070214881208720,,,,,,,,
1921,,,,,,,,,,,-5.400762345921390,,,,,,,,
1922,,,,,,,,,,,0.7378312674413120,,,,,,,,
1923,,,,,,,,,,,0.24864298820351100,,,,,,,,
1924,,,,,,,,,,,1.5873228080868000,,,,,,,,
1925,,,,,,,,,,,1.0008128383969800,,,,,,,,
1926,,,,,,,,,,,0.6264492278704540,,,,,,,,
1927,,,,,,,,,,,1.0949925921235800,,,,,,,,
1928,,,,,,,,,,,-2.208300564623200,,,,,,,,
1929,,,,,,,,,,,-2.836351789518650,,,,,,,,
1930,,,,,,,,,,,-0.29542213994902200,,,,,,,,
1931,,,,,,,,,,,1.753747810589990,,,,,,,,
1932,,,,,,,,,,,-2.373812358686830,,,,,,,,
1933,,,,,,,,,,,1.1290496652602900,,,,,,,,
1934,,,,,,,,,,,-0.6071743535400670,,,,,,,,
1935,,,,,,,,,,,1.233029457737760,,,,,,,,
1936,,,,,,,,,,,0.806747543498814,,,,,,,,
1937,,,,,,,,,,,0.6539156951593350,,,,,,,,
1938,,,,,,,,,,,0.13171090557425200,,,,,,,,
1939,,,,,,,,,,,-0.5964553694409350,,,,,,,,
1940,,,,,,,,,,,2.0767326459576600,,,,,,,,
1941,,,,,,,,,,,2.3397503868897500,,,,,,,,
1942,,,,,,,,,,,-2.535517224173190,,,,,,,,
1943,,,,,,,,,,,-0.5816652065886880,,,,,,,,
1944,,,,,,,,,,,-0.05658928395445360,,,,,,,,
1945,,,,,,,,,,,0.15138505156107000,,,,,,,,
1946,-40.49025218106830,3.6254967799530300,,,,,-21.391023409497800,-1.7896919268028600,-26.915920812344000,,0.7861314369540270,,,,,,,,
